0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Year
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2016
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2016
SNo.,District,2016-2017,Paid Liability of previous years,2016-2017,Paid Liability of previous years,2016-2017,Paid Liability of previous years,2016-2017,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2016
1,ALLURI SITHARAMA RAJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,ANAKAPALLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,ANANTAPUR,23481.23,2159.27,15642.47,55.06,3164.52,0,42288.22,2214.33,44502.56,278974,489229,17318105,62.08,161.81,134357,90797,270.74,2016
4,ANNAMAYYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
5,BAPATLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
6,CHITTOOR,19306.15,282.75,9984.97,10.77,3027.83,0,32318.94,293.52,32612.46,238092,377486,13218795,55.52,165.89,145007,55605,264.38,2016
7,EAST GODAVARI,22732.82,901.36,14547.31,23.39,3589.72,0,40869.85,924.75,41794.6,393963,588396,16504722,41.89,156.26,105003,103241,266.3,2016
8,ELURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
9,GUNTUR,11571.98,304.25,6791.21,19.31,2266.53,0,20629.72,323.56,20953.28,328144,522575,8370995,25.51,148.71,104882,56243,257.07,2016
10,KAKINADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
11,KONASEEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
